T_REC,HARPNUM,MEANPOT,SHRGT45,TOTPOT,USFLUX,MEANJZH,ABSNJZH,SAVNCPP,MEANALP,MEANSHR,TOTUSJZ,TOTUSJH,MEANGAM,MEANGBZ,MEANJZD,AREA_ACR,R_VALUE,MEANGBT,MEANGBH,NOAA_ARS,FlareClass
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:00:00_TAI,892,16286.82,37.915,1.252138e+24,4.768342e+22,-0.00635815,368.067,20574760000000,-0.0098726,41.492,48669960000000,3534.718,45.885,85.434,-0.27179265,1836.159668,4.579,64.691,39.335,11302,M
2011.09.22_16:12:00_TAI,892,16255.25,38.456,1.262167e+24,4.827234e+22,-0.00559197,326.94,20185380000000,-0.00865878,41.555,48938710000000,3636.729,45.934,84.8,-0.26439771,1865.255005,4.565,64.388,39.483,11302,M
2011.09.22_16:12:00_TAI,892,16255.25,38.456,1.262167e+24,4.827234e+22,-0.00559197,326.94,20185380000000,-0.00865878,41.555,48938710000000,3636.729,45.934,84.8,-0.26439771,1865.255005,4.565,64.388,39.483,11302,M
2011.09.22_16:12:00_TAI,892,16255.25,38.456,1.262167e+24,4.827234e+22,-0.00559197,326.94,20185380000000,-0.00865878,41.555,48938710000000,3636.729,45.934,84.8,-0.26439771,1865.255005,4.565,64.388,39.483,11302,X
2011.09.22_16:12:00_TAI,892,16255.25,38.456,1.262167e+24,4.827234e+22,-0.00559197,326.94,20185380000000,-0.00865878,41.555,48938710000000,3636.729,45.934,84.8,-0.26439771,1865.255005,4.565,64.388,39.483,11302,M
2011.09.22_16:12:00_TAI,892,16255.25,38.456,1.262167e+24,4.827234e+22,-0.00559197,326.94,20185380000000,-0.00865878,41.555,48938710000000,3636.729,45.934,84.8,-0.26439771,1865.255005,4.565,64.388,39.483,11302,X
